date,date_de,main_1,main_2,main_3,main_4,main_5,euro_1,euro_2
2022-09-16,16.09.2022,41,16,27,45,25,3,9
2022-09-13,13.09.2022,40,20,22,34,26,12,8
2022-09-09,09.09.2022,26,43,18,9,41,9,4
2022-09-06,06.09.2022,10,38,6,11,20,3,9
2022-09-02,02.09.2022,11,22,5,2,24,12,7
2022-08-30,30.08.2022,45,18,27,49,41,9,7
2022-08-26,26.08.2022,37,6,2,18,29,10,12
2022-08-23,23.08.2022,9,21,39,2,18,4,10
2022-08-19,19.08.2022,13,32,41,4,39,6,8
2022-08-16,16.08.2022,17,32,34,4,49,4,9
2022-08-12,12.08.2022,14,46,38,32,34,2,5
2022-08-09,09.08.2022,36,40,44,26,23,5,10
2022-08-05,05.08.2022,31,49,10,17,12,8,2
2022-08-02,02.08.2022,40,39,47,6,11,8,7
2022-07-29,29.07.2022,26,29,46,50,14,11,10
2022-07-26,26.07.2022,2,7,1,24,25,2,5
2022-07-22,22.07.2022,1,17,19,11,33,7,3
2022-07-19,19.07.2022,23,37,43,24,20,10,9
2022-07-15,15.07.2022,9,19,16,32,11,3,5
2022-07-12,12.07.2022,30,3,26,16,47,2,1
2022-07-08,08.07.2022,10,36,30,6,22,10,8
2022-07-05,05.07.2022,28,16,43,7,36,11,2
2022-07-01,01.07.2022,34,4,24,10,35,8,7
2022-06-28,28.06.2022,50,23,29,10,2,3,10
2022-06-24,24.06.2022,30,13,48,35,24,5,4
2022-06-21,21.06.2022,6,29,10,17,49,5,2
2022-06-17,17.06.2022,45,2,1,23,43,1,9
2022-06-14,14.06.2022,28,30,35,11,50,7,8
2022-06-10,10.06.2022,23,46,21,28,3,12,10
2022-06-07,07.06.2022,49,7,48,5,45,3,8
2022-06-03,03.06.2022,41,27,4,39,22,9,1
2022-05-31,31.05.2022,50,14,39,30,37,4,12
2022-05-27,27.05.2022,29,48,8,41,26,5,3
2022-05-24,24.05.2022,45,26,40,25,47,4,5
2022-05-20,20.05.2022,47,32,22,4,28,2,1
2022-05-17,17.05.2022,2,41,13,45,50,2,3
2022-05-13,13.05.2022,30,13,43,7,47,11,7
2022-05-10,10.05.2022,3,7,50,34,43,10,5
2022-05-06,06.05.2022,49,6,5,39,50,12,10
2022-05-03,03.05.2022,6,22,13,24,30,5,10
2022-04-29,29.04.2022,18,17,5,34,6,1,11
2022-04-26,26.04.2022,41,49,10,27,32,9,1
2022-04-22,22.04.2022,28,18,50,2,42,11,2
2022-04-19,19.04.2022,7,17,35,3,15,3,4
2022-04-15,15.04.2022,5,10,24,2,20,7,4
2022-04-12,12.04.2022,24,41,20,19,36,4,5
2022-04-08,08.04.2022,48,2,26,45,41,12,5
2022-04-05,05.04.2022,28,48,38,10,9,8,12
2022-04-01,01.04.2022,37,49,8,7,35,8,5
2022-03-29,29.03.2022,18,24,39,10,15,11,2
2022-03-25,25.03.2022,46,11,35,31,20,6,10
